Symbol,Name,Last Sale,Market Cap,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,$118.49,36358600336,1307192,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,$23.05,4285676957,3443724,Basic Industries,Aluminum
AACQ,Artius Acquisition Inc. Class A Common Stock,$10.63,962679375,1092822,Finance,Business Services
AAIC,Arlington Asset Investment Corp Class A (new),$3.78,126356657,202742,Consumer Services,Real Estate Investment Trusts
AAL,American Airlines Group Inc. Common Stock,$15.77,9631902984,57891084,Transportation,Air Freight/Delivery Services
AAN,Aarons Holdings Company Inc. Common Stock ,$18.96,640440531,541665,Technology,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,$8.51,195527853,638427,Technology,Semiconductors
AAON,AAON Inc. Common Stock,$66.63,3480890790,172882,Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,$157.51,10687768438,621014,Consumer Services,Other Specialty Stores
AAPL,Apple Inc. Common Stock,$132.69,2.30E+12,99116586,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,$28.88,1740970990,129922,Consumer Services,Real Estate Investment Trusts
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$54.54,1500793378,362516,Transportation,Transportation Services
AAXN,Axon Enterprise Inc. Common Stock,$122.53,7786769002,353974,Capital Goods,Ordnance And Accessories
AB,AllianceBernstein Holding L.P.  Units,$33.77,3247815161,265603,Finance,Investment Managers
ABB,ABB Ltd Common Stock,$27.96,57563741922,568847,Consumer Durables,Electrical Products
ABBV,AbbVie Inc. Common Stock,$107.15,1.89E+11,6148110,Health Care,Major Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,$97.76,19967455267,523842,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,$38.07,2645505086,260779,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,$40.24,10832115784,1200980,Health Care,Major Pharmaceuticals
ABCM,Abcam plc American Depositary Shares,$21.55,4882192432,241520,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$3.06,48148968475,3904528,Consumer Non-Durables,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,$145.74,2810675766,114120,Consumer Durables,Automotive Aftermarket
ABM,ABM Industries Incorporated Common Stock,$37.84,2526148073,254982,Finance,Diversified Commercial Services
ABMD,ABIOMED Inc. Common Stock,$324.20,14650560069,229004,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,$146.80,87551374228,2795813,Finance,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,$14.18,1749742362,922216,Consumer Services,Real Estate Investment Trusts
ABST,Absolute Software Corporation Common Stock,$11.91,580943455,38002,Technology,Computer Software: Prepackaged Software
ABT,Abbott Laboratories Common Stock,$109.49,1.94E+11,2982245,Health Care,Major Pharmaceuticals
ABTX,Allegiance Bancshares Inc. Common Stock,$34.13,697873516,60528,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation Common Stock,$3.55,301427866,2685686,Health Care,Major Pharmaceuticals
AC,Associated Capital Group Inc. Common Stock,$35.12,783356728,6953,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,$54.93,2651326359,125468,Capital Goods,Metal Fabrications
ACAC,Acies Acquisition Corp. Class A Ordinary Share,$10.30,277134375,8629,Finance,Business Services
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$53.46,8498968531,520772,Health Care,Major Pharmaceuticals
ACAM,Acamar Partners Acquisition Corp. Class A Common Stock,$11.20,427802502,1325331,Consumer Durables,Automotive Aftermarket
ACB,Aurora Cannabis Inc. Common Shares,$8.31,1526181759,8240204,Consumer Durables,Specialty Chemicals
ACBI,Atlantic Capital Bancshares Inc. Common Stock,$15.92,330807300,33751,Finance,Major Banks
ACC,American Campus Communities Inc Common Stock,$42.77,5886524532,570967,Consumer Services,Real Estate Investment Trusts
ACCD,Accolade Inc. Common Stock,$43.50,2394203634,690844,,
ACCO,Acco Brands Corporation Common Stock,$8.45,798498273,363377,Consumer Durables,Publishing
ACEL,Accel Entertainment Inc. ,$10.10,976509511,414283,Consumer Services,Services-Misc. Amusement & Recreation
ACET,Adicet Bio Inc. Common Stock ,$14.05,275237083,52939,Health Care,Major Pharmaceuticals
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,$10.22,293825000,25412,Finance,Business Services
ACGL,Arch Capital Group Ltd. Common Stock,$36.07,14645378380,1462048,Finance,Property-Casualty Insurers
ACH,Aluminum Corporation of China Limited American Depositary Shares,$8.68,5910272048,48687,Basic Industries,Aluminum
ACHC,Acadia Healthcare Company Inc. Common Stock,$50.26,4472700326,531643,Health Care,Medical Specialities
ACI,Albertsons Companies Inc. Class A Common Stock,$17.58,8309236488,3086193,Consumer Services,Food Chains
ACIA,Acacia Communications Inc. Common Stock,$72.96,3074825510,615813,Technology,Semiconductors
ACIC,Atlas Crest Investment Corp. Class A Common Stock,$10.06,647612500,132717,Finance,Business Services
ACIU,AC Immune SA Common Stock,$5.17,370902443,243286,Health Care,Major Pharmaceuticals
ACIW,ACI Worldwide Inc. Common Stock,$38.43,4487145636,608594,Technology,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies Inc. Common Stock,$29.12,975403695,137144,Technology,Industrial Machinery/Components
ACM,AECOM Common Stock,$49.78,7505021516,1115116,Consumer Services,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,$81.25,1500266950,286888,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),$261.21,1.73E+11,1325331,Miscellaneous,Business Services
ACNB,ACNB Corporation Common Stock,$25.00,217582825,13074,Finance,Major Banks
ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares,$10.26,530955000,74559,Finance,Business Services
ACP,Aberdeen Income Credit Strategies Fund Common Shares,$10.68,186174785,182732,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,$11.91,398293470,202272,Consumer Services,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,$6.47,277687813,373965,Health Care,Major Pharmaceuticals
ACTC,ArcLight Clean Transition Corp. Class A Ordinary Shares,$11.08,384337500,254368,Finance,Business Services
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$3.94,194161045,317215,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,$30.13,100601449,13524,Capital Goods,Industrial Machinery/Components
ACV,AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$32.68,338366106,38561,,
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$5.39,834257538,1137812,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,$500.12,2.40E+11,1462236,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,$66.58,3686569555,315919,Consumer Services,Real Estate Investment Trusts
ADCT,ADC Therapeutics SA Common Shares,$32.01,2455763922,278289,Health Care,Major Pharmaceuticals
ADES,Advanced Emissions Solutions Inc. Common Stock,$5.50,102013379,52670,Basic Industries,Major Chemicals
ADI,Analog Devices Inc. Common Stock,$147.73,54584004129,1626778,Technology,Semiconductors
ADM,Archer-Daniels-Midland Company Common Stock,$50.41,28047571960,1698888,Consumer Non-Durables,Packaged Foods
ADMS,Adamas Pharmaceuticals Inc. Common Stock,$4.33,123493847,111517,Health Care,Major Pharmaceuticals
ADNT,Adient plc Ordinary Shares ,$34.77,3264679394,582820,Capital Goods,Auto Parts:O.E.M.
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,$10.24,124328960,23533,Finance,Business Services
ADP,Automatic Data Processing Inc. Common Stock,$176.20,75557026624,1142816,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,$59.13,8087353017,368405,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADS,Alliance Data Systems Corporation Common Stock,$74.10,3676974194,719774,Miscellaneous,Business Services
ADSK,Autodesk Inc. Common Stock,$305.34,67141030312,941702,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,$7.85,6479847074,2405590,Consumer Services,Diversified Commercial Services
ADTN,ADTRAN Inc. Common Stock,$14.77,708313369,221846,Public Utilities,Telecommunications Equipment
